species_id,species,canonical_index
459,Thripidae_cluster6,459
460,Thripidae_cluster7,460
462,Throscidae_cluster4,462
463,Tortricidae_cluster1,463
464,Tortricidae_cluster72,464
465,Tortricidae_cluster92,465
466,Trichoceridae_cluster1,466
467,Trichoceridae_cluster2,467
468,Trichoceridae_cluster3,468
469,Triozidae_cluster1,469
470,Triozidae_cluster17,470
471,Triozidae_cluster3,471
472,Triozidae_cluster5,472
