Var1	Sample_no	Var2	Species	Freq
2777	1	S8APX1	Elachistidae_cluster2	1
2792	1	S8APX1	Elachistidae_cluster6	0
2807	1	S8APX1	Elachistidae_cluster9	0
2822	1	S8APX1	Elateridae_cluster1	0
2837	1	S8APX1	Empididae_cluster16	0
2852	1	S8APX1	Empididae_cluster56	0
2867	1	S8APX1	Empididae_cluster9	0
2882	1	S8APX1	Entomobryidae_cluster1	21
2897	1	S8APX1	Entomobryidae_cluster11	7
2912	1	S8APX1	Entomobryidae_cluster165	2
2927	1	S8APX1	Entomobryidae_cluster2	8
2942	1	S8APX1	Entomobryidae_cluster33	0
2957	1	S8APX1	Entomobryidae_cluster5	0
2972	1	S8APX1	Entomobryidae_cluster6	0
2987	1	S8APX1	Entomobryidae_cluster7	0
3002	1	S8APX1	Ephydridae_cluster6	1
3017	1	S8APX1	Eremaeidae_cluster1	0
3032	1	S8APX1	Eriocraniidae_cluster7	0
3047	1	S8APX1	Fanniidae_cluster4	0
3062	1	S8APX1	Fanniidae_cluster8	0
3077	1	S8APX1	Formicidae_cluster1	0
3092	1	S8APX1	Formicidae_cluster2	0
3107	1	S8APX1	Formicidae_cluster3	0
3122	1	S8APX1	Formicidae_cluster6	0
3137	1	S8APX1	Formicidae_cluster7	0
3152	1	S8APX1	Gelechiidae_cluster13	0
3167	1	S8APX1	Gelechiidae_cluster14	0
3182	1	S8APX1	Gracillariidae_cluster2	0
3197	1	S8APX1	Gracillariidae_cluster3	0
3212	1	S8APX1	Gryllidae_cluster1	1
3227	1	S8APX1	Gryllidae_cluster2	1
3242	1	S8APX1	Halolaelapidae_cluster3	0
3257	1	S8APX1	Heleomyzidae_cluster1	0
3272	1	S8APX1	Heleomyzidae_cluster10	0
3287	1	S8APX1	Heleomyzidae_cluster11	0
3302	1	S8APX1	Heleomyzidae_cluster23	0
3317	1	S8APX1	Heleomyzidae_cluster45	2
3332	1	S8APX1	Hybotidae_cluster119	0
3347	1	S8APX1	Hybotidae_cluster98	0
3362	1	S8APX1	Hypogastruridae_cluster2	0
3377	1	S8APX1	Ichneumonidae_cluster1211	0
3392	1	S8APX1	Ichneumonidae_cluster123	0
3407	1	S8APX1	Ichneumonidae_cluster125	0
3422	1	S8APX1	Ichneumonidae_cluster132	0
3437	1	S8APX1	Ichneumonidae_cluster179	0
3452	1	S8APX1	Ichneumonidae_cluster221	0
