cluster	S8APX1_L	SLWUQ2_L	S5MEZA_L	SY34ZS_L	STHFJP_L	SKYQAL_L	SIRUBH_L	SCNXZK_L	SUXEKB_L	SQVR9H_L	SIUQ3G_L	SG3CB2_L	SBWPUY_L	SC1YIM_L	SACBBR_L	BLANK_L	S8APX1_H	SLWUQ2_H	S5MEZA_H	SY34ZS_H	STHFJP_H	SKYQAL_H	SIRUBH_H	SCNXZK_H	SUXEKB_H	SQVR9H_H	SIUQ3G_H	SG3CB2_H	SBWPUY_H	SC1YIM_H	SACBBR_H	POS	NEG_PCR	NEG
Anthomyiidae_cluster21	0	17424	0	0	0	0	0	0	130898	0	0	11201	70286	0	4185	0	0	10329	0	0	0	0	0	0	9500	0	0	13359	8480	0	24004	0	0	0
Ascidae_cluster2	204	201	61	10	124	150	0	203	0	18	0	0	191	0	0	0	42	30	3	0	3	12	0	0	0	46	0	0	8	0	0	0	0	0
Tachinidae_cluster6	0	10167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calliphoridae_cluster3	0	1109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Curculionidae_cluster21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycetophilidae_cluster29	0	2009	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	1214	0	0	0	0	0	0	0	0	687	0	0
Clubionidae_cluster6	0	5763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heleomyzidae_cluster1	2	6573	483	15455	203	0	0	0	0	0	0	0	0	0	2856	0	0	13672	5196	5274	3694	0	0	0	0	0	0	0	0	0	13867	0	0	0
Sciaridae_cluster80	304	4384	0	439	0	113	1837	310	0	0	0	0	0	0	417	0	4333	2953	0	242	0	441	1331	275	0	0	0	0	0	0	1324	636	0	0
Chironomidae_cluster19	0	6063	0	9811	0	0	8101	0	0	0	0	0	0	0	0	0	0	4053	0	685	0	0	1381	0	5	0	0	0	0	0	0	0	0	0
Anthomyiidae_cluster103	0	1854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphaeroceridae_cluster1	0	2019	1949	0	0	632	2007	0	0	0	0	0	0	0	0	0	0	903	295	0	0	604	1977	0	0	0	0	0	0	0	0	158	0	0
Blattidae_cluster2	1843	730	805	4251	1952	1811	3401	2228	4992	3794	4497	3693	2123	1933	1359	0	1672	443	311	819	518	475	805	675	432	1092	520	757	608	3791	1416	29	0	0
Chironomidae_cluster387	0	1382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sciaridae_cluster17	782	1816	822	6430	2724	547	0	978	0	868	0	0	140	0	0	0	1466	1140	617	1418	545	869	0	249	0	1148	0	0	95	0	0	0	0	0
Elachistidae_cluster2	705	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16767	3298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eriocraniidae_cluster7	0	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sciaridae_cluster127	0	1286	0	0	0	0	0	0	0	0	0	0	0	0	942	0	0	684	0	0	0	0	0	0	0	0	0	0	0	0	5497	34	0	0
Cecidomyiidae_cluster1372	0	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cecidomyiidae_cluster790	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chironomidae_cluster1	4839	2206	69498	25315	35763	0	4786	0	0	0	0	0	0	0	0	0	5003	2087	3792	1367	2206	0	7188	0	0	0	0	0	0	0	0	0	0	0
Tetragnathidae_cluster3	0	392	0	0	7944	0	0	0	0	0	0	0	0	0	0	0	0	1633	0	0	937	0	0	0	0	0	0	0	0	0	0	0	0	0
Sciaridae_cluster76	0	2407	0	0	0	0	0	4649	0	0	0	0	0	0	0	0	0	290	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0
