cluster;ELA001_H1;ELA001_H2_pf;ELA001_H3;ELA001_H4_pf;ELA001_H5;ELA001_H6;ELA001_H7;ELA001_H8_pf;ELA001_H9;ELA001_H10;ELA001_H11;ELA001_H12;ELA001_H13;ELA001_H14;ELA001_H15
Diprionidae_cluster8;0;0;0;0;0;0;0;0;0;0;0;979;0;0;0
Dolichopodidae_cluster12;0;0;0;0;0;0;0;0;0;0;0;0;273;0;0
Dolichopodidae_cluster38;0;0;0;0;0;650;0;0;0;0;0;0;0;0;0
Drosophilidae_cluster1;5948;1347;788;1978;947;1289;2688;2372;1811;5181;3926;2997;843;4142;5076
Drosophilidae_cluster11;0;0;433;0;0;0;0;0;0;0;0;0;0;0;0
Drosophilidae_cluster12;2031;0;0;3333;0;0;0;0;0;0;0;0;3282;0;0
Drosophilidae_cluster2;3011;509;325;1179;265;1035;1386;722;719;3710;2122;1637;702;2736;2852
Drosophilidae_cluster3;161;242;62;318;101;642;1057;417;1211;1095;2084;474;458;1179;1637
Dryinidae_cluster29;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0
Ectobiidae_cluster1;12571;0;0;7067;0;0;0;0;0;0;0;0;0;0;0
Elachistidae_cluster1;0;0;265;3309;0;2523;0;2843;0;0;0;0;0;0;0
Elachistidae_cluster2;16767;3298;0;0;0;0;0;0;0;0;0;0;0;0;0
Elachistidae_cluster6;0;0;0;0;0;0;0;0;8345;0;0;0;0;0;0
Elachistidae_cluster9;0;0;0;0;0;2693;0;0;0;0;0;0;0;0;0
Elateridae_cluster1;0;0;0;13468;0;47973;0;64040;0;0;0;0;0;0;0
Empididae_cluster16;0;0;0;0;0;7877;0;8485;0;0;0;0;0;0;0
Empididae_cluster56;0;0;0;0;0;1657;0;0;0;0;0;0;0;0;0
Empididae_cluster9;0;3507;0;0;0;0;0;0;0;0;0;0;0;0;0
Entomobryidae_cluster1;91997;15446;3622;1734;697;8662;23946;3950;398;11192;4738;8679;1187;10389;10337
Entomobryidae_cluster11;29161;5425;0;0;0;616;2923;281;5;281;804;32;120;2318;2562
Entomobryidae_cluster165;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0
Entomobryidae_cluster2;19842;2932;11;0;0;27;5396;14;149;10;12;2792;9;2893;3737
Entomobryidae_cluster33;0;0;0;115;106;0;0;621;0;0;0;0;0;0;0
Entomobryidae_cluster5;5122;2954;0;0;0;0;348;0;451;0;0;0;0;0;0
Entomobryidae_cluster6;0;0;0;28;0;179;418;101;1185;607;2337;3411;384;0;0
Entomobryidae_cluster7;8055;95;0;213;0;26;690;7;2433;1149;4808;4701;230;0;0
Ephydridae_cluster6;50;0;0;0;0;0;0;0;0;0;0;0;0;66;0
Eremaeidae_cluster1;0;0;0;0;0;0;0;0;73;0;0;0;0;0;0
Eriocraniidae_cluster7;0;875;0;0;0;0;0;0;0;0;0;0;0;0;0
Fanniidae_cluster4;0;0;0;0;0;2175;0;0;0;0;0;0;0;0;0
Fanniidae_cluster8;0;0;0;0;0;2579;0;0;0;0;0;0;0;0;0
Formicidae_cluster1;0;70;0;0;0;0;165;0;0;0;0;0;0;0;1337
Formicidae_cluster2;0;0;0;0;0;0;0;29;7348;0;0;0;6955;0;0
Formicidae_cluster3;0;0;429;0;0;0;0;1332;0;0;0;0;0;0;0
Formicidae_cluster6;0;962;469;3406;385;725;0;0;0;0;0;0;0;0;0
Formicidae_cluster7;0;0;0;4083;0;0;0;0;0;0;0;0;0;0;0
Gelechiidae_cluster13;0;0;0;0;0;4384;0;0;0;0;0;0;0;0;0
Gelechiidae_cluster14;0;0;0;0;0;0;0;0;0;0;12827;0;0;0;0
Gracillariidae_cluster2;0;0;0;0;0;0;0;0;376;0;0;0;0;0;0
Gracillariidae_cluster3;0;0;647;1379;0;2372;0;3724;0;0;0;0;0;0;0
